Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000113663942252208,0.0016356087293449,-0.0213439740529758,0,0,0,0.320481422655543,0.00084861505736386,2.97152629807315E-07,3.4555913160792E-07,0.000200725740731641,3.92026930988534E-09,0.00103876752693472,0,0,0,0,0,0,package://elegoo_simu/meshes/base_link.STL,0.101960784313725,0.101960784313725,0.101960784313725,1,0,0,0,0,0,0,package://elegoo_simu/meshes/base_link.STL,,Top Plate-1;Base Plate-1;Long Hex Nut-7;Long Hex Nut-4;Cap Screw_M3_10mm-27;Cap Screw_M3_10mm-23;Battery Holder-1;Battery Cover-1;Cap Screw_M3_10mm-24;Cap Screw_M3_10mm-22;Cap Screw_M3_10mm-31;Dead Plate-1;Cap Screw_M3_10mm-30;Cap Screw_M3_10mm-29;Hex Nut_M3-34;Hex Nut_M3-35;Hex Nut_M3-36;Long Hex Nut-1;Long Hex Nut-2;Cap Screw_M3_10mm-25;Cap Screw_M3_10mm-26;Long Hex Nut-3;Long Hex Nut-6;Cap Screw_M3_7mm-3;Cap Screw_M3_7mm-1;Cap Screw_M3_7mm-4;Cap Screw_M3_7mm-2;Cap Screw_M3_10mm-17;Cap Screw_M3_10mm-12;Cap Screw_M3_10mm-13;Cap Screw_M3_10mm-6;Cap Screw_M3_10mm-7;Hex Nut_M3-16;Hex Nut_M3-15;Cap Screw_M3_10mm-16;Cap Screw_M3_14mm-3;Cap Screw_M3_10mm-20;Cap Screw_M3_14mm-2;Cap Screw_M3_14mm-1;Hex Nut_M3-14;Cap Screw_M3_10mm-19;Cap Screw_M3_10mm-11;Cap Screw_M3_10mm-10;Cap Screw_M3_10mm-2;Hex Spacer Screw-1;Hex Nut_M3-19;Hex Spacer Screw-4;Hex Nut_M3-22;Cap Screw_M3_10mm-15;Hex Spacer Screw-2;Hex Nut_M3-20;Hex Spacer Screw-5;Hex Nut_M3-23;Cap Screw_M3_14mm-4;Hex Nut_M3-17;Cap Screw_M3_10mm-1;Cap Screw_M3_10mm-14;Motor Mount Block-5;Cap Screw_M3_30mm-10;Hex Nut_M3-10;Cap Screw_M3_30mm-11;Hex Nut_M3-11;Spacer-4;Cap Screw_M3_30mm-2;Hex Nut_M3-2;Motor Mount Block-1;Cap Screw_M3_30mm-1;Hex Nut_M3-1;Spacer-1;Pan Screw_M2_10mm-1;Hex Nut_M2-1;Pan Screw_M2_10mm-2;Hex Nut_M2-2;Spacer-3;Motor Mount Block-3;Cap Screw_M3_30mm-7;Hex Nut_M3-7;Cap Screw_M3_30mm-6;Hex Nut_M3-6;Spacer-2;Motor Mount Block-6;Cap Screw_M3_30mm-13;Hex Nut_M3-13;Cap Screw_M3_30mm-12;Hex Nut_M3-12,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_motor_Link,0.000404669277169013,-0.0112499995993381,0.0202439168825699,0,0,0,0.00854876685458474,1.17165891905496E-06,-4.71279785478066E-15,-7.83815378361147E-09,1.07002331783213E-06,2.3792883709663E-15,6.48599680422981E-07,0,0,0,0,0,0,package://elegoo_simu/meshes/fr_motor_Link.STL,1,1,1,1,0,0,0,0,0,0,package://elegoo_simu/meshes/fr_motor_Link.STL,,Motor-1,fr_motor_link,Axis_fr_motor_joint,fr_motor_joint,fixed,0.0371499999999999,-0.0493500000160009,-0.0197000000000017,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
fr_wheel_link,0.00812098210358325,-2.61234610332561E-11,-8.04612418359163E-11,0,0,0,0.306109899457103,0.000221397987094039,-9.62581541173754E-14,-3.12944022472771E-15,0.000120221604288152,7.50069762248007E-10,0.000120221932097438,0,0,0,0,0,0,package://elegoo_simu/meshes/fr_wheel_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://elegoo_simu/meshes/fr_wheel_link.STL,,Wheel-1,fr_wh_link,forwardAxis,fr_wheel_joint,continuous,0.0159000000000001,-0.0112499999999997,-0.0079499999999967,0,0,0,fr_motor_Link,-1,0,0,,,,,,,,,,,,
br_motor_link,-0.0154953307228312,-4.00661698263249E-10,-0.0281939168825704,0,0,0,0.00854876685458474,1.17165891905496E-06,4.71279774467707E-15,7.83815378361441E-09,1.07002331783213E-06,2.37928747643173E-15,6.48599680422981E-07,0,0,0,0,0,0,package://elegoo_simu/meshes/br_motor_link.STL,1,1,1,1,0,0,0,0,0,0,package://elegoo_simu/meshes/br_motor_link.STL,,Motor-3,br_wh_link,Axis_br_motor_joint,br_motor_joint,fixed,0.0530500000000004,0.0404000000159994,-0.0309499999999987,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
br_wheel_link,0.00812098233727378,2.80416386291837E-10,2.0403299882954E-10,0,0,0,0.306109913185571,0.00022139798772043,-1.25012312894634E-13,-1.34374232556409E-13,0.000120221402395312,-6.74940995961599E-10,0.000120222134866692,0,0,0,0,0,0,package://elegoo_simu/meshes/br_wheel_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://elegoo_simu/meshes/br_wheel_link.STL,,Wheel-3,br_wh_link,reverseAxis,br_wheel_joint,continuous,0,0,0,0,0,0,br_motor_link,-1,0,0,,,,,,,,,,,,
fl_motor_link,-0.000404669277169013,-0.0112500004006633,0.0202439168825699,0,0,0,0.00854876685458474,1.17165891905496E-06,-4.71279823894848E-15,7.83815378361184E-09,1.07002331783213E-06,-2.37925942310969E-15,6.48599680422981E-07,0,0,0,0,0,0,package://elegoo_simu/meshes/fl_motor_link.STL,1,1,1,1,0,0,0,0,0,0,package://elegoo_simu/meshes/fl_motor_link.STL,,Motor-5,fl_motor_link,Axis_fl_motor_link,fl_motor_link,fixed,-0.0371499999999999,-0.0493500000160009,-0.0197000000000017,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
fl_wheel_link,-0.00812098210216261,8.01126751742709E-11,-1.09581989315988E-10,0,0,0,0.306109899373842,0.000221397987089165,-1.63115246544794E-14,1.8153812927422E-14,0.000120221604257845,7.49836921709807E-10,0.000120221932121374,0,0,0,0,0,0,package://elegoo_simu/meshes/fl_wheel_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://elegoo_simu/meshes/fl_wheel_link.STL,,Wheel-5,fl_wh_link,forwardAxis,fl_wheel_joint,continuous,-0.0159000000000001,-0.0112499999999997,-0.00794999999999667,0,0,0,fl_motor_link,-1,0,0,,,,,,,,,,,,
bl_motor_link,-0.000404669277169097,-0.0112499995993367,-0.0202439168825707,0,0,0,0.00854876685458473,1.17165891905496E-06,4.71279827228387E-15,-7.83815378361442E-09,1.07002331783213E-06,-2.3792601179567E-15,6.48599680422981E-07,0,0,0,0,0,0,package://elegoo_simu/meshes/bl_motor_link.STL,1,1,1,1,0,0,0,0,0,0,package://elegoo_simu/meshes/bl_motor_link.STL,,Motor-6,bl_motor_link,Axis_bl_motor_joint,bl_motor_joint,fixed,-0.0371500000000002,0.0483500000159991,-0.0196999999999984,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
bl_wheel_link,-0.00812098209818358,-8.86754315809757E-11,1.58697679997211E-10,0,0,0,0.306109899141489,0.000221397987078634,-2.46875736421512E-14,2.1832869905823E-14,0.000120221402158807,-6.74917916683295E-10,0.000120222134205591,0,0,0,0,0,0,package://elegoo_simu/meshes/bl_wheel_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://elegoo_simu/meshes/bl_wheel_link.STL,,Wheel-6,bl_wh_link,reverseAxis,bl_wheel_joint,continuous,-0.0159000000000005,-0.0112500000000003,0.00794999999999974,0,0,0,bl_motor_link,-1,0,0,,,,,,,,,,,,
servo_Link,0.00607283375162547,-0.00183789515247874,-0.000357176173858123,0,0,0,0.00718760563331449,7.10250592751377E-07,5.72081013428577E-19,4.96492179667808E-14,4.32928194351315E-07,2.78915203316387E-08,4.52034743523462E-07,0,0,0,0,0,0,package://elegoo_simu/meshes/servo_Link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://elegoo_simu/meshes/servo_Link.STL,,Servo-1,servo_link,Axis_servo_joint,servo_joint,fixed,-0.00602783382563871,-0.0887500000000001,0.0026547190729892,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
